player,average_rank,years_in_top10,best_rank,worst_rank,earliest_year,latest_year
 Michelle Martin,1.4,5,1,2,1994,1998
 Sarah Fitz-Gerald,2.3333333333333335,9,1,5,1994,2002
 Nicol David,2.357142857142857,14,1,6,2004,2017
 Leilani Rorani,2.75,4,1,7,1998,2001
 Raneem El Weleily,2.857142857142857,7,1,7,2011,2017
 Nour El Sherbini,3.6,5,1,6,2012,2017
 Laura Massaro,3.625,8,2,9,2010,2017
 Rachael Grinham,3.909090909090909,11,1,8,2001,2011
 Carol Owens,4.1,10,1,8,1994,2003
 Cassie Jackman,4.545454545454546,11,2,8,1994,2004
 Natalie Grinham,4.666666666666667,9,2,9,2003,2013
 Natalie Grainger,5.1,10,3,7,1999,2009
 Sue Wright,5.25,4,4,8,1994,1998
 Jenny Duncalf,5.375,8,2,9,2005,2013
 Linda Elriani,5.555555555555555,9,3,9,1997,2005
 Suzanne Horner,5.625,8,2,9,1994,2001
 Nouran Gohar,5.666666666666667,3,3,9,2015,2017
 Tania Bailey,5.666666666666667,6,5,9,1999,2007
 Vanessa Atkinson,5.875,8,1,10,2002,2010
 Alison Waters,6.0,9,3,10,2008,2017
 Kasey Brown,6.0,2,5,7,2010,2011
 Camille Serme,6.142857142857143,7,3,10,2010,2017
 Liz Irving,6.2,5,3,10,1994,1998
 Vicky Botwright,7.0,4,5,9,2003,2007
 Amanda Sobhy,7.0,1,7,7,2016,2016
 Sarah-Jane Perry,7.0,1,7,7,2017,2017
 Low Wee Wern,7.333333333333333,3,7,8,2012,2014
 Madeline Perry,7.428571428571429,7,4,10,2006,2013
 Sabine Schoene,7.5,4,6,9,1995,1998
 Joelle King,7.5,4,5,10,2012,2017
 Nour El Tayeb,7.666666666666667,3,7,8,2014,2017
 Omneya Abdel Kawy,7.9,10,4,10,2004,2016
 Fiona Geaves,8.444444444444445,9,5,10,1994,2004
 Laura Lengthorn-Massaro,8.5,2,8,9,2008,2009
 Annie Au,8.75,4,8,10,2011,2015
 Stephanie Brind,9.25,4,7,10,1999,2003
 Rebecca Macree,9.25,4,8,10,2001,2004
 Claire Nitch,9.333333333333334,3,9,10,1994,1996
 Jane Martin,9.5,2,9,10,1994,1995
 Dipika Pallikal,10.0,1,10,10,2012,2012
 Shelley Kitchen,10.0,2,10,10,2007,2008
